customer_name,phone_number,email,address,state,purchase_date,gold_type,gold_quality,gold_weight,price_per_gram,total_amount,discount_percentage,discount_amount,final_amount,payment_mode,notes
Seher Kakar,03458436103,shasaanvi@example.com,"H.No. 991, Gade Path, Ujjain 091328",West Bengal,2023-07-29,24K,Premium,227.15,5164.51,1173118.45,1.25,14663.98,1158454.47,UPI,
Alisha Gole,08456993711,chiragjhaveri@example.com,"34, Barad Nagar, Bareilly-891318",Maharashtra,2024-11-21,22K,Standard,757.272,5398.24,4087936.0,2.77,113235.83,3974700.17,Bank Transfer,
Ela Dass,05370599813,jdora@example.org,"62/395, Sane Path, Suryapet-050895",Delhi,2024-05-28,18K,Premium,398.262,5472.67,2179556.5,4.64,101131.42,2078425.08,Bank Transfer,
Sara Ganesh,3802725986,sahilrama@example.org,"53/676, Acharya Zila, Bhilwara-219162",Maharashtra,2024-11-02,18K,Standard,520.37,5693.76,2962861.89,0.32,9481.16,2953380.73,UPI,
Kashvi Sehgal,06494901348,kiaan94@example.net,"60, Konda Zila, Imphal 487626",Tamil Nadu,2024-12-25,24K,Standard,432.668,5707.47,2469439.63,1.67,41239.64,2428199.99,Card,
Raunak Dyal,6945187286,jhaverikimaya@example.org,"878, Vaidya Circle, Raichur-886987",Rajasthan,2024-02-15,24K,Premium,636.757,6384.01,4065063.06,4.54,184553.86,3880509.2,Cash,
Zara Viswanathan,+917404909891,rbobal@example.org,"961, Karnik Marg, Darbhanga 263312",Maharashtra,2025-02-17,22K,Premium,858.738,5154.02,4425952.83,0.18,7966.72,4417986.11,Card,
Miraya Raj,6942151913,dthakur@example.net,"33/345, Chowdhury, Sri Ganganagar-577932",Andhra Pradesh,2023-11-28,22K,Pure,589.659,5432.42,3203275.34,2.07,66307.8,3136967.54,Cash,
Dhanush Thaman,08821899694,anya91@example.org,"H.No. 279, Rastogi Road, Narasaraopet 455922",Andhra Pradesh,2023-09-24,18K,Standard,36.189,5368.24,194271.24,3.6,6993.76,187277.48,Bank Transfer,
Hrishita Jain,1712469529,nanand@example.net,"850, Wadhwa Marg, Nellore 969333",Karnataka,2024-12-20,18K,Pure,581.226,6095.65,3542950.27,2.85,100974.08,3441976.19,Bank Transfer,
Piya Kari,2670831778,gshroff@example.org,"H.No. 746, Brar Path, Nagpur-671596",Karnataka,2024-06-04,24K,Premium,716.659,5689.57,4077481.55,1.37,55861.5,4021620.05,Cash,
Vaibhav Garde,+917699742439,suhana25@example.org,"40/661, Yogi, Firozabad-427124",Maharashtra,2024-12-09,22K,Pure,708.912,6822.19,4836332.36,0.32,15476.26,4820856.1,Card,
Samiha Kala,2122537836,hridaan13@example.org,"006, Arya Marg, Nanded 270402",Rajasthan,2023-11-08,22K,Premium,761.658,5545.76,4223972.47,2.4,101375.34,4122597.13,Cash,Molestias laudantium vero provident officiis quibusdam quis.
Divit Dhillon,09656131536,aniruddh84@example.com,"216, Korpal Ganj, Tinsukia 091581",West Bengal,2025-03-24,24K,Standard,961.025,5574.01,5356762.96,4.66,249625.15,5107137.81,Cash,
Saanvi Shenoy,+912716585251,karakashvi@example.org,"70/56, Deol, Barasat 451267",Kerala,2024-08-26,22K,Pure,524.671,6747.71,3540327.75,2.17,76825.11,3463502.64,UPI,
Dhanush Samra,+916956944275,tanyagoel@example.com,"H.No. 431, Sha Circle, Ranchi-966786",Andhra Pradesh,2024-06-15,22K,Premium,106.804,5443.82,581421.75,0.95,5523.51,575898.24,Card,
Bhamini Konda,7093730395,buchmyra@example.com,"24/922, Reddy Marg, Yamunanagar-482160",West Bengal,2024-05-09,18K,Premium,361.288,6818.86,2463572.29,2.15,52966.8,2410605.49,Card,
Veer Zacharia,09988170948,oorjakarpe@example.net,"23/551, Kapadia Path, Hubli–Dharwad 164603",Delhi,2023-07-15,24K,Standard,960.566,5294.2,5085428.52,0.84,42717.6,5042710.92,Bank Transfer,
Hazel Chaudhary,05742872326,kalaonkar@example.org,"60/94, Wason Marg, Katihar 006633",Delhi,2024-03-03,18K,Premium,313.676,6715.08,2106359.43,0.32,6740.35,2099619.08,Cash,
Sana Boase,03589038996,lsampath@example.net,"01, Varughese, Jaunpur-847823",Delhi,2023-07-08,18K,Premium,138.507,5770.01,799186.78,4.37,34924.46,764262.32,UPI,
Madhup Subramanian,07548259293,jayeshkala@example.org,"H.No. 05, Bhatnagar Ganj, Bellary 426289",Delhi,2024-03-05,24K,Pure,439.924,5974.07,2628136.77,1.93,50723.04,2577413.73,Cash,
Mamooty Shan,06651723852,chanasamarth@example.net,"15, Saha Nagar, Muzaffarnagar-964844",Rajasthan,2024-07-12,18K,Premium,863.519,6079.25,5249547.88,2.35,123364.38,5126183.5,Cash,
Amira Bhat,5057152408,drishya70@example.org,"18, Issac Street, Gandhidham 927740",Maharashtra,2024-07-13,22K,Premium,578.541,5427.96,3140297.41,3.89,122157.57,3018139.84,Bank Transfer,
Chirag Lanka,+917127953663,vedika12@example.org,"H.No. 537, Sethi Path, Ambattur-115241",West Bengal,2023-05-31,18K,Premium,212.524,5493.72,1167547.35,0.04,467.02,1167080.33,UPI,Aperiam non illo qui architecto.
Anya Sahni,+911797398592,tarini47@example.net,"96/995, Kota Street, Bangalore 813415",Delhi,2024-08-14,24K,Pure,76.525,6058.79,463648.9,3.36,15578.6,448070.3,Cash,
Madhav Saini,+918662281152,keyakhosla@example.org,"H.No. 35, Dubey, Nagaon-371025",Maharashtra,2024-06-08,18K,Pure,687.061,5721.18,3930799.65,0.03,1179.24,3929620.41,Cash,
Renee Datta,01990242229,jkara@example.org,"56/70, Deol, Ichalkaranji-481054",Gujarat,2024-09-24,24K,Pure,857.613,5146.75,4413919.71,1.87,82540.3,4331379.41,Cash,
Zain Bora,6071319366,anneaarna@example.org,"00/694, Malhotra Nagar, Nagaon-023453",Gujarat,2023-07-24,18K,Pure,485.636,5416.88,2630631.94,0.62,16309.92,2614322.02,Bank Transfer,Numquam beatae mollitia pariatur id.
Miraan Bhatia,02998028483,saniayesha@example.net,"58/06, Swaminathan Nagar, Mehsana-466273",Delhi,2024-07-22,24K,Standard,726.126,5748.21,4173924.73,4.82,201183.17,3972741.56,Card,
Nishith Dhingra,9153778909,zoyagandhi@example.org,"263, Suri Circle, Siliguri 367292",Karnataka,2024-04-08,18K,Standard,101.418,5736.2,581753.93,4.74,27575.14,554178.79,UPI,
Umang Kohli,05539273289,prerak78@example.com,"41, Rau Street, Nagpur 957967",Andhra Pradesh,2024-12-14,18K,Pure,288.726,6167.82,1780810.0,2.02,35972.36,1744837.64,Card,
Uthkarsh Taneja,3231204676,dadaromil@example.net,"11/97, Dhingra Road, Sirsa-179931",Tamil Nadu,2024-05-14,18K,Premium,596.651,6317.45,3769312.86,4.26,160572.73,3608740.13,Cash,Beatae rem nisi doloribus et quos porro.
Aarav Mammen,+915278683707,piyachacko@example.org,"36/28, Dass Street, Dewas 866217",Tamil Nadu,2024-03-14,22K,Premium,401.064,5872.16,2355111.98,4.84,113987.42,2241124.56,Cash,Et expedita unde necessitatibus tempora nam modi nisi.
Anika Tak,0376956854,vardaniyasamra@example.com,"65/45, Dass Circle, Bhopal 600466",Kerala,2023-06-15,18K,Standard,562.885,6547.93,3685731.58,2.66,98040.46,3587691.12,Cash,
Mohanlal Malhotra,8305731128,tripathiprisha@example.com,"05/86, Rajan, Kolkata 663221",Gujarat,2024-02-01,24K,Standard,867.639,6664.63,5782492.91,0.84,48572.94,5733919.97,Bank Transfer,
Riaan Taneja,+917706392713,baralishita@example.com,"H.No. 816, Sunder Road, Akola-873578",Andhra Pradesh,2025-05-16,24K,Premium,652.148,5268.48,3435828.7,3.49,119910.42,3315918.28,Cash,
Siya Sem,1429705638,abramkapur@example.net,"43/84, Kade Zila, Bongaigaon-746633",Gujarat,2024-05-26,24K,Pure,882.388,6376.34,5626405.9,1.02,57389.34,5569016.56,Cash,
Ishita Brar,+913242649496,tsen@example.org,"H.No. 108, Sathe, Moradabad-905327",Karnataka,2024-05-01,18K,Standard,522.882,5968.23,3120680.04,3.15,98301.42,3022378.62,UPI,
Oorja Goda,08405892202,dmandal@example.com,"057, Bandi Path, Sirsa 724481",Kerala,2024-11-17,18K,Standard,250.775,6949.55,1742773.4,0.04,697.11,1742076.29,UPI,Voluptate sit culpa perspiciatis cum.
Zaina Rege,08644939709,gdubey@example.net,"29/727, Jayaraman Street, Nizamabad 667074",Delhi,2024-07-17,24K,Premium,2.39,6559.02,15676.06,3.67,575.31,15100.75,UPI,
Nishith Sami,4301542103,qrajan@example.com,"24/144, Tata Circle, Delhi 939413",Kerala,2024-11-28,24K,Premium,73.306,6294.82,461448.07,1.92,8859.8,452588.27,Bank Transfer,Dolorum necessitatibus neque quas veniam quas qui eveniet.
Kavya Sahni,05652308471,tbhavsar@example.net,"599, Bhandari Circle, Ulhasnagar-592568",Gujarat,2023-11-18,24K,Premium,970.039,6889.29,6682879.98,2.96,197813.25,6485066.73,Card,Officiis hic tempore impedit rem.
Emir Shankar,3915336629,bandinirvaan@example.org,"85/225, Dutt Street, Hapur-722383",Karnataka,2024-06-09,24K,Standard,50.362,6905.86,347792.92,3.02,10503.35,337289.57,Card,
Divij Mangat,6705002312,bhavin43@example.net,"545, Gopal Nagar, Kochi-578668",Delhi,2025-01-17,18K,Pure,450.328,6152.22,2770516.93,3.64,100846.82,2669670.11,Cash,Incidunt dolorem rem repudiandae ratione at.
Saira Sanghvi,4200488797,fratta@example.org,"H.No. 60, Dada Nagar, Jamnagar-208152",Gujarat,2024-03-16,22K,Pure,439.636,5195.06,2283935.4,4.28,97752.44,2186182.96,UPI,
Sana Rattan,07517806525,miraanraman@example.net,"22/79, Sood Ganj, Jalgaon-564736",Tamil Nadu,2024-05-22,22K,Pure,460.111,5863.11,2697681.41,1.6,43162.9,2654518.51,Bank Transfer,
Yuvraj  Jhaveri,08316195445,ishaantaneja@example.org,"57, Rau Road, Bardhaman 779673",Telangana,2024-07-30,18K,Premium,612.536,5590.52,3424394.76,1.15,39380.54,3385014.22,Bank Transfer,Itaque quasi excepturi laborum voluptas rem.
Pranay Chad,01643140484,idayal@example.com,"H.No. 467, Buch Ganj, Madhyamgram-786977",Tamil Nadu,2024-03-28,24K,Pure,104.447,5918.77,618197.77,0.77,4760.12,613437.65,Cash,Neque rem dignissimos.
Mohanlal Uppal,+915094232365,tusharrajagopal@example.org,"837, Buch Nagar, Bhopal 899087",Andhra Pradesh,2024-04-23,22K,Pure,546.531,5262.04,2875867.98,4.34,124812.67,2751055.31,Card,
Nitya Bawa,9732881679,basakpranay@example.com,"H.No. 931, Trivedi Ganj, Warangal-637831",Rajasthan,2024-04-19,22K,Standard,452.712,5518.85,2498449.62,0.8,19987.6,2478462.02,UPI,
Kartik Sami,0803998036,aaina39@example.org,"H.No. 359, Sarraf Nagar, Imphal 542941",Kerala,2023-12-31,24K,Standard,64.071,6412.57,410859.77,4.6,18899.55,391960.22,UPI,
Mehul Wable,+914920990653,madhup92@example.com,"H.No. 46, Sankaran Street, Amroha 063287",Maharashtra,2023-06-29,18K,Premium,25.264,6216.07,157042.79,2.16,3392.12,153650.67,Cash,Ex maiores quo architecto.
Dhanush Khurana,8990936824,nirvaanlall@example.net,"84/99, Dhaliwal Zila, Junagadh-571760",Delhi,2024-08-19,24K,Pure,301.365,5730.77,1727053.5,0.1,1727.05,1725326.45,Bank Transfer,Adipisci dolores adipisci quae distinctio labore.
Aayush Basak,00168063361,shalv98@example.com,"05/767, Shroff Circle, Parbhani-339071",Rajasthan,2024-01-17,22K,Pure,540.418,5418.54,2928276.55,1.28,37481.94,2890794.61,Cash,
Dhruv Chaudhary,+910540043047,ubarad@example.org,"50/823, Jain Path, Kakinada 815495",Telangana,2025-03-07,24K,Premium,748.444,6219.8,4655171.99,2.42,112655.16,4542516.83,UPI,Fugit quas enim iste.
Hridaan Ganesh,06701203847,faiyaz01@example.com,"H.No. 08, Hari Street, Bhind-486069",Kerala,2024-10-27,18K,Standard,219.282,6994.2,1533702.16,2.4,36808.85,1496893.31,Bank Transfer,
Ishaan Madan,+916086163743,dharsaanvi@example.net,"H.No. 02, Date, Guna-781382",Tamil Nadu,2023-11-22,18K,Premium,606.199,6657.64,4035854.71,3.23,130358.11,3905496.6,Card,
Himmat Kara,4489317861,samarkhare@example.org,"52, Srinivasan Street, Jalgaon 456831",Tamil Nadu,2024-02-29,24K,Premium,869.606,6737.88,5859300.88,3.71,217380.06,5641920.82,UPI,
Ishaan Basu,08573106431,davemadhav@example.com,"96, Dasgupta Path, Berhampore 355667",West Bengal,2023-08-23,24K,Pure,797.829,5473.77,4367132.45,1.3,56772.72,4310359.73,UPI,
Aayush Sinha,6511145304,fmanda@example.net,"836, Raja Zila, Belgaum-382226",Tamil Nadu,2023-06-20,22K,Premium,656.526,5237.97,3438863.49,1.43,49175.75,3389687.74,Cash,Molestias ducimus laboriosam nostrum pariatur fugiat veniam dolores.
Anahita Comar,06647847654,samiha84@example.org,"85/075, Thakkar, Unnao-934564",Karnataka,2025-03-05,24K,Standard,113.593,6304.69,716168.65,0.27,1933.66,714234.99,Cash,Dolorem quibusdam officia dolorem ex amet.
Anahita Subramanian,2633850139,urau@example.com,"71, Ramachandran Marg, Akola-629520",Tamil Nadu,2025-02-09,22K,Standard,646.309,5879.2,3799779.87,3.73,141731.79,3658048.08,UPI,
Mehul Mann,3553871226,mamooty52@example.net,"487, Kaur Nagar, Hosur 235180",West Bengal,2024-01-07,18K,Premium,647.68,6930.34,4488642.61,1.53,68676.23,4419966.38,Cash,
Diya Loyal,02747601714,hariaaina@example.net,"H.No. 82, Kumer Marg, Nashik-266605",West Bengal,2024-06-23,18K,Standard,722.198,5256.92,3796537.11,2.86,108580.96,3687956.15,UPI,
Riaan Tella,8995174592,ehsaanahuja@example.net,"62/999, Mall Nagar, Mirzapur 738000",Tamil Nadu,2025-02-07,24K,Premium,654.55,6267.65,4102490.31,1.92,78767.81,4023722.5,Cash,
Armaan Khare,01633116299,manikyahans@example.net,"09/296, Hegde Road, Pondicherry-499215",Maharashtra,2024-07-31,24K,Premium,255.076,5713.55,1457389.48,1.76,25650.05,1431739.43,Cash,
Raghav Khare,+914537276831,faiyazviswanathan@example.org,"09/123, Bhattacharyya Circle, Rajpur Sonarpur 623202",West Bengal,2024-09-23,22K,Pure,515.965,5722.27,2952491.04,4.49,132566.85,2819924.19,Bank Transfer,
Anahi Ganesan,9118664362,gkhatri@example.com,"10/391, Gokhale Road, Ballia 092114",Tamil Nadu,2024-11-25,22K,Pure,300.474,5226.94,1570559.57,0.14,2198.78,1568360.79,Card,
Eva Chaudry,5645299091,tkrishnamurthy@example.org,"086, Ramachandran Ganj, Suryapet-879680",Telangana,2023-08-25,22K,Pure,24.161,6103.34,147462.8,0.84,1238.69,146224.11,Bank Transfer,Totam voluptas accusamus.
Jayan Shanker,7700987986,lallanika@example.org,"H.No. 359, Lad Marg, Latur 568000",Tamil Nadu,2023-08-26,22K,Standard,730.226,6725.46,4911105.75,4.08,200373.11,4710732.64,UPI,
Taran Varty,+916696409901,floke@example.net,"512, Srivastava Road, Rourkela-162207",West Bengal,2024-11-09,18K,Standard,947.531,5132.73,4863420.79,0.72,35016.63,4828404.16,Card,
Samar Sandal,9435511182,anaykar@example.net,"304, Borra Nagar, Imphal-931377",Kerala,2024-08-20,24K,Premium,413.321,5506.41,2275914.89,0.08,1820.73,2274094.16,Card,Tenetur tempore consequatur aspernatur voluptas.
Samaira Seth,+919324044743,aainabawa@example.net,"44, Bhandari Ganj, Sirsa-992932",Kerala,2023-11-23,24K,Premium,593.798,6837.56,4060129.45,1.93,78360.5,3981768.95,UPI,
Ahana  Issac,0737758951,dbobal@example.org,"066, Mander Zila, Pallavaram-443646",Gujarat,2023-10-11,22K,Pure,730.431,6191.02,4522112.93,4.73,213895.94,4308216.99,Card,
Saira Batra,2329832515,prishabalasubramanian@example.com,"99/97, Dyal Chowk, Aizawl-918568",Maharashtra,2025-01-03,24K,Standard,312.399,6367.95,1989341.21,1.18,23474.23,1965866.98,Cash,
Khushi Madan,4084005862,tarini04@example.com,"03/008, Vora Marg, Surendranagar Dudhrej-240350",Telangana,2025-01-26,24K,Standard,132.215,6703.15,886256.98,1.49,13205.23,873051.75,Card,
Vardaniya Malhotra,+917582196066,khareamani@example.net,"87/39, Baral Road, Raichur-071662",Gujarat,2025-05-14,22K,Pure,825.503,5173.42,4270673.73,4.13,176378.83,4094294.9,Cash,
Sana Tara,+910377346388,pshan@example.com,"18, Iyer Road, Raiganj 435346",Karnataka,2024-03-10,24K,Pure,712.591,5794.37,4129015.91,1.03,42528.86,4086487.05,Bank Transfer,Eveniet ratione alias ea quasi laudantium.
Zain Mannan,0706466410,kismatcomar@example.org,"274, Chakrabarti Street, Rewa-141706",Telangana,2024-08-09,24K,Premium,493.312,6615.57,3263540.07,2.37,77345.9,3186194.17,Card,Repellendus et ad laboriosam deserunt.
Hiran Banerjee,+912828910829,chiragwadhwa@example.net,"477, Gupta, Howrah 074438",Kerala,2024-09-28,18K,Pure,892.016,6880.91,6137881.81,1.68,103116.41,6034765.4,UPI,Laborum corporis quaerat aliquam magni praesentium quos voluptatibus.
Shanaya Wali,+918971400939,bhaminivirk@example.org,"H.No. 35, Barad Ganj, Thane 483459",Kerala,2025-03-07,22K,Premium,816.315,6556.85,5352455.01,4.72,252635.88,5099819.13,Bank Transfer,In laudantium ipsum amet expedita fugit voluptatem delectus.
Sana Sengupta,6538950817,tgade@example.org,"66/15, Dugar Road, Guntur-232942",Karnataka,2023-12-01,22K,Premium,593.81,6310.6,3747297.39,0.3,11241.89,3736055.5,UPI,
Ira Dua,6731187939,yuvraj-handa@example.org,"H.No. 878, Mahal Zila, Kota 078884",Delhi,2025-05-26,18K,Premium,311.129,6186.44,1924780.89,2.79,53701.39,1871079.5,Card,
Nitara Jayaraman,+917912509342,uthkarshbora@example.com,"49/21, Kakar Ganj, Bikaner 627559",Maharashtra,2024-06-11,22K,Premium,617.556,6544.67,4041700.23,1.51,61029.67,3980670.56,UPI,Error facere beatae eius sequi omnis dolores.
Suhana Dalal,+919384518180,taratiwari@example.org,"24, Srivastava Zila, Kakinada 078482",Maharashtra,2024-08-18,24K,Pure,554.225,6168.62,3418803.42,3.85,131623.93,3287179.49,Card,
Samar Mangal,3131283635,gardelakshay@example.org,"056, Deep Marg, Purnia 517847",Kerala,2023-08-10,22K,Standard,93.935,6271.85,589146.23,3.01,17733.3,571412.93,Card,
Ivan Sahota,5059482414,anahita87@example.com,"93/08, Bera Street, Coimbatore 844275",Karnataka,2024-07-30,24K,Standard,895.157,6221.73,5569425.16,4.4,245054.71,5324370.45,Cash,
Abram Bhatt,6281483085,rkar@example.com,"32/39, Kari Ganj, Ongole 385013",Telangana,2024-11-27,18K,Pure,283.845,5639.37,1600706.98,1.87,29933.22,1570773.76,UPI,
Mishti Kibe,+914178231946,ramanathanyuvraj@example.com,"180, Bath Street, Ratlam 331467",Rajasthan,2024-03-31,18K,Pure,511.777,6577.95,3366443.52,3.16,106379.62,3260063.9,Bank Transfer,
Zain Mani,03096369249,kotharishray@example.net,"H.No. 69, Badal, Panipat-821406",Rajasthan,2024-05-25,22K,Standard,301.474,5238.71,1579334.86,3.87,61120.26,1518214.6,Card,
Diya Dalal,7144620722,abram67@example.net,"91, Deshmukh Marg, Burhanpur-937816",Telangana,2023-10-12,24K,Premium,14.684,5343.19,78459.4,2.71,2126.25,76333.15,UPI,Laborum reiciendis modi mollitia.
Advik Raman,02448219146,sumer38@example.com,"991, Chakraborty Ganj, Durgapur-535373",Kerala,2025-01-16,18K,Pure,368.145,5394.2,1985847.76,4.29,85192.87,1900654.89,Card,
Krish Bahri,+919008785089,jayankadakia@example.org,"H.No. 085, Sarma Zila, Patna 711791",Rajasthan,2024-12-01,22K,Pure,76.134,5388.41,410241.21,0.69,2830.66,407410.55,Card,Tenetur sint eos exercitationem.
Zeeshan Ranganathan,8685768575,stuvan48@example.net,"600, Vyas Zila, Kurnool-479617",Andhra Pradesh,2023-11-15,18K,Pure,725.314,6009.99,4359129.89,4.47,194853.11,4164276.78,Card,
Reyansh Deshmukh,8482656680,yasmin40@example.org,"H.No. 56, Tiwari Chowk, Shimoga 213082",Rajasthan,2024-01-09,18K,Premium,600.936,6116.97,3675907.48,4.66,171297.29,3504610.19,Cash,
Vihaan Dayal,9346464739,rattihunar@example.net,"81/02, Barman Road, Vellore 284124",Delhi,2024-04-15,24K,Standard,124.639,5873.15,732023.54,2.88,21082.28,710941.26,Bank Transfer,
Anya Shukla,+919884634948,nitaralalla@example.org,"160, Kumar Zila, Ozhukarai 685957",Rajasthan,2024-05-01,24K,Standard,265.014,6748.52,1788452.28,2.98,53295.88,1735156.4,Bank Transfer,Enim possimus soluta provident tempora perspiciatis nostrum.
Jayan Behl,01813106642,ljayaraman@example.org,"H.No. 893, Bassi Chowk, Pali-671202",Andhra Pradesh,2024-09-11,24K,Standard,24.697,6338.3,156537.0,1.68,2629.82,153907.18,Card,Vitae molestias cumque ipsum quod accusantium consequatur.
Neelofar Cherian,+910409277782,navyamangat@example.com,"H.No. 004, Wali Circle, Hazaribagh 600773",Andhra Pradesh,2024-04-19,24K,Pure,914.778,5262.14,4813689.9,2.14,103012.96,4710676.94,Bank Transfer,
Sahil Sethi,+919281719956,mannatkrish@example.org,"29, Choudhry Nagar, Chandigarh 547203",Karnataka,2024-04-16,24K,Premium,150.873,6018.63,908048.76,0.14,1271.27,906777.49,Cash,
Shray Taneja,9349188616,anvi58@example.org,"H.No. 884, Contractor Street, Singrauli-909244",Rajasthan,2023-09-30,22K,Premium,702.014,5395.04,3787393.61,4.29,162479.19,3624914.42,Bank Transfer,
Ishita Raman,6723656187,anahi39@example.net,"495, Madan Path, Thrissur 630110",Karnataka,2025-04-17,18K,Pure,790.066,5663.68,4474681.0,4.95,221496.71,4253184.29,Cash,
Pranay Khatri,01795528731,hsandhu@example.net,"H.No. 924, Rajagopalan Zila, Bhusawal-814867",Telangana,2024-10-16,22K,Pure,166.964,6809.19,1136889.6,1.31,14893.25,1121996.35,Card,
Sana Tailor,4341123234,ratikata@example.com,"H.No. 316, Sant Street, Naihati 768298",Karnataka,2023-11-09,18K,Pure,246.884,6673.57,1647597.66,3.18,52393.61,1595204.05,Cash,Ipsa pariatur sapiente ducimus ipsa voluptatem nemo.
Parinaaz Randhawa,06451337375,indranilchakraborty@example.com,"32/433, Soman Circle, Karnal 454645",Andhra Pradesh,2024-01-29,18K,Standard,350.174,5818.9,2037627.49,3.87,78856.18,1958771.31,Card,Mollitia et quae velit veritatis vero.
Darshit Kaur,0784761383,sairasaraf@example.org,"744, Saran Nagar, Nanded 986239",Karnataka,2023-10-09,22K,Premium,253.375,5511.59,1396499.12,4.05,56558.21,1339940.91,Bank Transfer,Qui quis repellat.
Riya Maharaj,8261971534,cborah@example.net,"59/508, Walia Ganj, Bardhaman-940016",Delhi,2024-11-05,18K,Pure,696.068,5937.64,4133001.2,1.31,54142.32,4078858.88,UPI,
Khushi Saha,07712390134,adiratiwari@example.org,"H.No. 901, Ranganathan Circle, Sasaram 269725",Karnataka,2024-10-24,18K,Standard,716.0,6321.31,4526057.96,3.89,176063.65,4349994.31,Cash,
Nitya Kannan,9610245378,eva95@example.net,"00/225, Deshpande Zila, Nadiad 473273",Gujarat,2024-11-29,22K,Premium,638.756,6722.33,4293928.62,2.46,105630.64,4188297.98,Cash,Dolores nihil quia similique.
Faiyaz Dani,02727496845,koshysiya@example.com,"H.No. 73, Saran Zila, Dindigul-902165",Delhi,2024-11-14,22K,Premium,559.004,5605.61,3133558.41,0.87,27261.96,3106296.45,Card,Culpa impedit fuga sit et eligendi soluta in.
Kismat Khatri,7426217529,rheasha@example.net,"H.No. 50, Brar, Bongaigaon-819840",Rajasthan,2025-03-19,18K,Standard,640.913,5488.64,3517740.73,1.72,60505.14,3457235.59,UPI,Possimus nostrum corrupti error nam fugit.
Shayak Batta,+919141720179,aayushbawa@example.net,"65/64, Seth Marg, Cuttack-228742",Delhi,2025-05-10,22K,Standard,325.99,6009.31,1958974.97,2.45,47994.89,1910980.08,Card,
Darshit Chakrabarti,+917408148410,vaibhav21@example.net,"54/94, Uppal Zila, Vijayawada 958938",Tamil Nadu,2024-09-04,18K,Standard,786.765,5420.17,4264400.05,1.83,78038.52,4186361.53,UPI,Dolorem minima placeat modi temporibus reiciendis deserunt similique.
Lakshit Hayer,09223308010,aliaaggarwal@example.org,"558, Sachdeva Path, Aizawl 699454",West Bengal,2023-12-08,18K,Premium,350.7,6095.56,2137712.89,1.14,24369.93,2113342.96,UPI,
Divij Khatri,06787834050,amirasibal@example.net,"H.No. 292, Dewan Street, Moradabad-776420",Tamil Nadu,2024-03-25,24K,Premium,221.937,5127.52,1137986.41,2.65,30156.64,1107829.77,UPI,
Azad Bera,8880461866,diyahora@example.net,"H.No. 375, Venkataraman Zila, Erode-787568",Tamil Nadu,2024-11-11,22K,Premium,366.556,5880.7,2155605.87,0.66,14227.0,2141378.87,Bank Transfer,
Chirag Aggarwal,+911524354509,sachdevaamira@example.org,"134, Subramaniam Street, Sambalpur 667799",Maharashtra,2025-02-19,22K,Standard,158.754,6879.19,1092098.93,0.19,2074.99,1090023.94,Bank Transfer,
Hazel Sami,03742894747,saksham07@example.org,"H.No. 41, Mandal Street, Suryapet 672111",Maharashtra,2024-02-22,18K,Standard,733.917,6969.62,5115122.6,1.12,57289.37,5057833.23,Bank Transfer,Saepe voluptatem amet saepe.
Kartik Kara,3757745082,chanddharmajan@example.org,"32/43, Ganesh Ganj, Dhanbad 600089",Telangana,2025-03-06,22K,Standard,51.04,6328.39,323001.03,1.44,4651.21,318349.82,Cash,
Yakshit Mangat,+914140487677,mahikadube@example.net,"H.No. 02, Majumdar Street, Berhampur-324273",Karnataka,2023-08-09,22K,Standard,443.237,5408.61,2397296.07,1.48,35479.98,2361816.09,Bank Transfer,
Divij Bhagat,+915006863189,zarakapadia@example.com,"31/659, Som Nagar, Rewa 231233",Gujarat,2025-02-01,18K,Standard,465.024,5983.81,2782615.26,1.65,45913.15,2736702.11,Card,
Kimaya Dada,+919815822683,bainszain@example.com,"833, Wali Zila, Ambattur 332418",West Bengal,2025-04-14,24K,Premium,823.327,6553.41,5395599.4,3.08,166184.46,5229414.94,Bank Transfer,
Baiju Shenoy,+910116211522,zainatak@example.org,"15/66, Jaggi Path, Gulbarga-017093",Telangana,2024-05-29,18K,Pure,10.152,5791.25,58792.77,0.05,29.4,58763.37,UPI,Corporis ipsam ratione maxime.
Ishaan Dhar,01041120901,darveer@example.com,"H.No. 561, Dave Zila, Tirupati-046707",Maharashtra,2024-07-15,18K,Premium,652.57,5212.85,3401749.52,2.07,70416.22,3331333.3,UPI,
Nirvi Virk,+910342102871,pdhingra@example.com,"24/243, Venkatesh Path, Gorakhpur-785462",Andhra Pradesh,2024-02-04,22K,Premium,639.836,6926.61,4431894.44,3.19,141377.43,4290517.01,Cash,Labore consectetur voluptates sunt illo aliquid autem.
Ryan Deol,+914282930509,navya61@example.org,"67/111, Sidhu Chowk, Ongole-475835",Delhi,2024-10-19,22K,Pure,101.296,6282.51,636393.13,0.72,4582.03,631811.1,Card,Praesentium reiciendis blanditiis nam vel itaque.
Kartik Devi,+919936875194,ychaudhary@example.net,"41, Brar Path, Deoghar-431403",Rajasthan,2023-07-08,18K,Premium,881.933,6137.86,5413181.28,4.27,231142.84,5182038.44,Bank Transfer,Voluptatibus officia in officiis ipsum.
Gokul Ganesh,06000641086,jayan16@example.com,"53/747, Kurian Circle, Gurgaon-870921",Kerala,2023-06-05,18K,Standard,775.506,5202.21,4034345.07,4.32,174283.71,3860061.36,Card,
